,Product ID,Title,Description,Vendor,Brands,Product Type,Category,Tags,SEO Title,SEO Description,Product Images,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Barcode,Variant Weight,Variant Weight Unit,Variant Price,Variant Compare At Price,Variant Bin Number,Variant Quantity,
1,PEL WD,PEL 215 WATER DISPENSER,"The PEL 215 Pearl Water Dispenser offers a sleek and functional design, making it an ideal choice for any home or office setting. This dispenser features a compact structure without a refrigerator compartment, providing a streamlined appearance that saves space.",alfa-Electronics World,PEL,PEL WATER DISPENSER,PEL,Water Dispenser,,,,Colour,White,Tap,2 Taps,,,PEL 215 Pearl Water Dispenser-BE-On Installments,0,20,KG," 38,000 "," 38,000 ",0,25,
2,PEL WD,PEL 315 Water Dispenser,"The PEL 315 Water Dispenser is a sleek and efficient water dispensing unit designed to provide quick and convenient access to clean, chilled, or hot water. Ideal for homes, offices, and public spaces, this water dispenser combines functionality with modern design to cater to diverse hydration needs.",alfa-Electronics World,PEL,PEL WATER DISPENSER,PEL,Water Dispenser,,,,Colour,White,Tap,2 Taps,,,PEL 315 Pearl Water Dispenser-BE-On Installments,0,20,KG," 41,000 "," 41,000 ",0,25,
3,PEL WD,PEL 316 Premier Water Dispenser,"The PEL 316 Premier Water Dispenser is a sleek and efficient water dispensing unit designed to provide a reliable and convenient hydration solution for both home and office settings. Combining modern aesthetics with advanced functionality, the PEL 316 Premier stands out as a high-performance appliance that offers both hot and cold water options at the touch of a button.",alfa-Electronics World,PEL,PEL WATER DISPENSER,PEL,Water Dispenser,,,,Colour,White,Tap,2 Taps,,,PEL 316 Premier Water Dispenser-BE-On Installments,0,20,KG," 42,000 "," 42,000 ",0,25,
4,PEL WD,PEL Water Dispenser PWD-425 Flat GD,"The PEL 425 Flat Glassdoor Dispenser is an elegantly designed, high-performance water dispenser that brings both style and functionality to any modern home or office. With its sleek flat glassdoor design, the PEL 425 combines contemporary aesthetics with advanced water dispensing technology, making it a standout appliance for any space. It is designed to provide convenient access to both hot and cold water, ensuring you have the perfect temperature whenever you need it.",alfa-Electronics World,PEL,PEL WATER DISPENSER,PEL,Water Dispenser,,,,Colour,Red Blaze/Purple Blaze/Maroon Blaze,Tap,3 Taps,Capacity,18 Litre,PEL 425 Flat Glassdoor Dispenser-BE-On Installments,0,20,KG," 43,000 "," 43,000 ",0,25,
5,PEL WD,PEL 525 Curved Glassdoor Dispenser,"The PEL 525 Curved Glassdoor Dispenser is a premium water dispenser that blends modern design with advanced functionality, making it a perfect addition to any contemporary kitchen, office, or public space. Featuring an elegant curved glass door, the PEL 525 offers a sophisticated look while providing quick and convenient access to both hot and cold water. With its high-performance cooling and heating systems, this dispenser ensures you have the perfect water temperature at all times, whether you’re in need of a hot beverage or a cold refreshment.",alfa-Electronics World,PEL,PEL WATER DISPENSER,PEL,Water Dispenser,,,,Colour,Red Blaze/Purple Blaze,Tap,3 Taps,Capacity,18 Litre,PEL 525 Curved Glassdoor Water  Dispenser-BE-On Installments,0,20,KG," 43,500 "," 43,500 ",0,25,
6,ORIENT WD,Orient Icon 2 Taps Water Dispenser,"The Orient Icon 2 Taps Water Dispenser is a sleek and modern appliance designed to provide easy access to hot and cold water, making it an essential addition to any home or office. With its elegant design and user-friendly features, it combines both functionality and style.",alfa-Electronics World,Orient,Orient WATER DISPENSER,Orient,Water Dispenser,,,,Colour,Black,Tap,2 Taps,Capacity,18 Litre,Orient Icon 2 Taps Water Dispenser-BE-On Installments,0,20,KG," 39,000 "," 39,000 ",0,25,
7,ORIENT WD,Orient Icon 3 Taps Water Dispenser,"The Orient Icon 3 Taps Water Dispenser is a modern and efficient solution for your hydration needs. Designed with convenience and style in mind, this water dispenser features three taps that offer versatile water options: hot, cold, and room temperature. Ideal for homes, offices, or any space where easy access to water is needed, it combines functionality with sleek, contemporary design.",alfa-Electronics World,Orient,Orient WATER DISPENSER,Orient,Water Dispenser,,,,Colour,Black,Tap,3 Taps,Capacity,18 Litre,Orient Icon 3 Taps Water Dispenser-BE-On Installments,0,20,KG," 41,000 "," 41,000 ",0,25,
8,ORIENT WD,Orient Crystal 3  Water Dispenser,"The Orient Crystal 3 Water Dispenser is a premium and stylish water dispensing solution, offering exceptional convenience and performance. With a sleek, modern design, this dispenser is designed to cater to your hydration needs by providing access to both cold and room temperature water. Perfect for homes, offices, or commercial spaces, the Orient Crystal 3 combines advanced technology with user-friendly features to ensure a seamless water experience.",alfa-Electronics World,Orient,Orient WATER DISPENSER,Orient,Water Dispenser,,,,Colour,RED,Tap,3 Taps,Capacity,18 Litre,Orient Crystal 3 Taps Water Dispenser-BE-On Installments,0,20,KG," 43,500 "," 43,500 ",0,25,
9,Dawlance WM,Dawlance DW-6000 Spnner Dryer,"The DS 6000 Clear Lid Spinner Dryer is a high-performance, compact appliance designed for efficient drying of laundry items. Featuring a transparent, durable clear lid, this spinner dryer allows for easy monitoring of the drying process while ensuring a safe and hygienic environment for your clothes. Its powerful spinning mechanism effectively removes excess water from clothes, reducing drying time and energy consumption.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,White,Lid,Black,Drying Capacity,6 KG,Dawlance DW-6000 Spinner-BE-On Installments,0,20,KG," 27,500 "," 27,500 ",0,25,
10,Dawlance WM,Dawlance DW-6100-W Single Tub,"The DW 6100 White Single Tub Washer is a sleek, efficient, and compact washing machine designed to meet the needs of small households or individuals looking for a simple yet reliable laundry solution. Featuring a single tub configuration, this washer offers an easy-to-use, hassle-free washing experience without compromising on performance.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,White,Lid,White,Wash Capacity,5.5 KG,Dawlance DW-6100 Washer-BE-On Installments,0,40,KG," 31,500 "," 31,500 ",0,25,
